issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent
YARN-8451,Multiple NM heartbeat thread created when a slow NM resync with RM,"During a NM resync with RM (say RM did a master slave switch), if NM is running slow, more than one RESYNC event may be put into the NM dispatcher by the existing heartbeat thread before they are processed. As a result, multiple new heartbeat thread are later created and start to hb to RM concurrently with their own responseId. If at some point of time, one thread becomes more than one step behind others, RM will send back a resync signal in this heartbeat response, killing all containers in this NM. 

See comments below for details on how this can happen. ",Bug,Resolved,Major,Fixed,2018-06-22T19:47:37.980+0000,2018-06-29T18:30:54.516+0000,Botong Huang,Botong Huang,['nodemanager'],[],12,
YARN-8461,Support strict memory control on individual container with elastic control memory mechanism,"YARN-4599 adds elastic memory control that disables oom killer for the root container cgroup. Hence, all containers have their oom killer disabled because they inherit the setting from the root container cgroup. Hence, when strict memory control on individual containers is also enabled, the container will be frozen but not killed. We can let the container monitoring thread to take care of the frozen containers.",Improvement,Resolved,Major,Fixed,2018-06-25T23:59:59.962+0000,2018-06-27T00:08:01.517+0000,Haibo Chen,Haibo Chen,['nodemanager'],[],13,
YARN-8452,FairScheduler.update can take long time if yarn.scheduler.fair.sizebasedweight is on,"Basically we recalculate the weight every time, even if the inputs did not change. This causes high cpu usage, if the cluster has lots of apps.",Bug,Patch Available,Major,,2018-06-22T19:59:11.737+0000,2020-02-26T09:04:26.951+0000,,Miklos Szegedi,['fairscheduler'],[],5,
YARN-8446,Support of managing multi-dimensional resources,"To better support long running jobs and services, we need to extend YARN to support other resources, such as disk, IP, port. Current resource types is not flexible enough to make this work because it only supports COUNTABLE type which is single value.

Propose to extend resource types by adding two more general types, such as SET, MULTIDIMENSIONAL (naming TBD). With schema like

*SET*:  a set of values
{noformat}
[""10.100.0.1"", ""10.100.0.2""]
[""9981"", ""9982"", ""9983""]
{noformat}
*MULTIDIMENSIONAL*: a set of values, each value can be a resource instance with multiple values. 
{noformat}
[ disk1 : { attributes: { ""type"" : ""SATA"", ""index"" : 1 },  ""size"" : ""500gb"", ""iops"" : ""1000"" },

  disk2 : { attributes: { ""type"" : ""SSD"", ""index"" : 2 },  ""size"" : ""100gb"", ""iops"" : ""1000"" } ]
{noformat}
this way, we could support better resource management and isolations. The idea is to make this as general as possible so we can easily support some other complex resources.

 ",New Feature,Open,Major,,2018-06-21T08:03:11.198+0000,2018-09-12T10:25:01.409+0000,,Weiwei Yang,[],[],2,
YARN-8412,Move ResourceRequest.clone logic everywhere into a proper API,"ResourceRequest.clone code is replicated in lots of places, some missing to copy one field or two due to new fields added over time. This JIRA attempts to move them into a proper API so that everyone can use this single implementation. ",Task,Resolved,Minor,Fixed,2018-06-11T21:12:32.595+0000,2018-06-24T08:04:59.065+0000,Botong Huang,Botong Huang,[],[],15,
YARN-8411,Enable stopped system services to be started during RM start,"With YARN-8048, the RM can launch system services using the YARN service framework. If the service app is in a stopped state, user intervention is required to delete the service so that the RM can launch it again when the RM is restarted. It would be an improvement for the RM to be able to start a stopped system service.",Sub-task,Resolved,Critical,Fixed,2018-06-11T18:32:57.890+0000,2018-06-14T20:57:42.854+0000,Billie Rinaldi,Billie Rinaldi,[],[],11,YARN-7054
YARN-8392,Allow multiple tags for anti-affinity placement policy in service specification,"Currently the service client code is restricting a component's target tags to include only a single tag, the component name. I have a use case for two components having anti-affinity with themselves and with each other. The YARN placement policies support this, but the service framework isn't allowing it.",Bug,Patch Available,Critical,,2018-06-04T16:40:46.872+0000,2018-07-31T20:05:50.258+0000,Billie Rinaldi,Billie Rinaldi,[],[],9,
YARN-8304,Provide generic log servlet for serving logs,"AHSWebService has log serving REST APIs i.e getContainerLog* and getLogs which is used to view container logs from UI. It is tightly coupled with ApplicationBaseProtocol. And these APIs are exist in AHS. But ATSv2 is designed only with REST APIs.

Proposal is to add generic log servlet which could be plugged to ATSV1.5 or ATSv2.0 Reader. 
",Sub-task,Open,Critical,,2018-05-16T09:42:46.609+0000,2019-08-30T06:26:09.255+0000,Abhishek Modi,Rohith Sharma K S,[],[],0,YARN-9802
YARN-8379,Improve balancing resources in already satisfied queues by using Capacity Scheduler preemption,"Existing capacity scheduler only supports preemption for an underutilized queue to reach its guaranteed resource. In addition to that, there’s an requirement to get better balance between queues when all of them reach guaranteed resource but with different fairness resource.

An example is, 3 queues with capacity, queue_a = 30%, queue_b = 30%, queue_c = 40%. At time T. queue_a is using 30%, queue_b is using 70%. Existing scheduler preemption won't happen. But this is unfair to queue_a since queue_a has the same guaranteed resources.

Before YARN-5864, capacity scheduler do additional preemption to balance queues. We changed the logic since it could preempt too many containers between queues when all queues are satisfied.",Bug,Resolved,Major,Fixed,2018-05-30T22:35:43.216+0000,2019-10-14T15:38:17.159+0000,Zian Chen,Wangda Tan,[],[],42,
YARN-8364,NM aggregation thread should be able to exempt pool,"For now, we have limited NM aggregation thread pool that can be configured by the property yarn.nodemanager.logaggregation.threadpool-size-max=100. 
When some application is starting it use one unit of the pool. And locks this unit until the application is finished. As the result, another application can aggregate their logs only when the previous application is finished.

Just for example:
yarn.nodemanager.logaggregation.threadpool-size-max=1

1. Start long-running application app1
2. Start short application app2
3. Finished app2
4. Finished app1
5. Aggregating logs of app1
6. Aggregating logs of app2

In the real cluster, we can have many long running jobs (for example Spark streaming), therefore short-running application do not aggregate their logs a long time. It problem appears if the average number of jobs exceeds thread pool size. All threads occupied by some applications, as the result we have the huge delay between application finishing and logs uploading.

Will be good if we improve this behavior.",Improvement,Open,Major,,2018-05-25T15:57:14.429+0000,2019-12-03T05:00:13.712+0000,,Oleksandr Shevchenko,['log-aggregation'],[],1,
YARN-8361,Change App Name Placement Rule to use App Name instead of App Id for configuration,"in YARN-8016, we expose a framework to let user specify custom placement rule through CS configuration, and also add a new placement rule which is mapping specific app with queues. However, the strategy implemented in YARN-8016 was using application id which is hard for user to use this config. In this JIRA, we are changing the mapping to use application name. More specifically, 

1. AppNamePlacementRule used app id while specifying queue mapping placement rules, should change to app name

2. Change documentation as well.",Improvement,Resolved,Major,Fixed,2018-05-24T22:02:37.065+0000,2019-09-10T03:20:05.392+0000,Zian Chen,Zian Chen,['yarn'],[],15,
YARN-8356,yarn.log-aggregation   why can auto clean ,"when I enable yarn.log aggregation  and define 

yarn.log-aggregation.retain-seconds=3600

 

but after 3600s /app-logs/hive/logs-ifile  can't decrease and many many file exists for a long time than 3600s before now;

so how can I do so that the yarn.log can auto clean itself",Wish,Open,Major,,2018-05-24T10:04:06.248+0000,2018-05-24T14:06:25.328+0000,,ma_lie,['log-aggregation'],[],3,
YARN-8352,AM should retry on a different node after the previous application attempt fail,"I submit a job to the yarn, and both two times the AM is allocated on the same node.  After the first allocate call to scheduler, the follows call should include the black node list, but now the black node list is always null.",Improvement,Resolved,Major,Duplicate,2018-05-24T03:13:39.070+0000,2019-02-26T02:59:03.393+0000,,Zhizhen Hou,['resourcemanager'],[],1,
YARN-8306,Support fine-grained configuration scheduler maximum allocation to sub-queue level.,"{color:#6a8759}We need to support control queues{color}' *yarn.scheduler.maximum-allocation-mb* or *yarn scheduler.maximum-allocation-vcores*

{color:#6a8759}conf fine-grained  and it will enabling us to support large cpus or large memory containers based on the characteristics of the label machine bound by the queue.  {color}{color:#6a8759}In this way user can use resources wisely.{color}",Improvement,Open,Major,,2018-05-16T13:19:25.813+0000,2018-05-16T13:29:26.721+0000,,JackZhou,['scheduler'],[],0,
YARN-8345,NodeHealthCheckerService to differentiate between reason for UnusableNodes for client to act suitably on it,"+*Current Scenario :*+ 

NodeHealthCheckerService marks a node Unhealthy on basis of 2 things : 
 # External Script
 # Directory status

If a directory is marked as full(as per DiskCheck configs in yarn-site), node manager marks this as unhealthy. 

Once a node is marked unhealthy, mapreduce launches all the map tasks that ran on this usable node. This leads to even successful tasks being relaunched.

+{color:#333333}*Problem :*{color}+

{color:#333333}We do not have distinction between disk limit to stop container launch on that node and limit so that reducer can read data from that node.{color}

{color:#333333}For Example : {color}

{color:#333333}Let us consider a 3 TB disk. If we set max disk utilisation percentage as 95% (since launch of container requires approx 0.15 TB for jobs in our cluster) and there are few nodes where disk utilisation is say 96%, the threshold will be breached. These nodes will be marked unhealthy by NodeManager. This will result in all successful mappers being relaunched on other nodes. But still 4% memory is good enough for reducers to read that data. This causes unnecessary delay in our jobs. (Mappers launching again can preempt reducers if there is crunch for space and there are issues with calculating Headroom in Capacity scheduler as well){color}

 

+*Correction :*+

We need a state (say UNUSABLE_WRITE) that can let mapreduce know that node is still good for reading data and successful mappers should not be relaunched. This can prevent delay.

  ",New Feature,Resolved,Major,Duplicate,2018-05-23T10:18:54.601+0000,2018-06-04T13:46:07.641+0000,,Kartik Bhatia,['nodemanager'],[],0,
YARN-8333,Load balance YARN services using RegistryDNS multiple A records,"For scaling stateless containers, it would be great to support DNS round robin for fault tolerance and load balancing.  The current DNS record format for RegistryDNS is [container-instance].[application-name].[username].[domain].  For example:

{code}
appcatalog-0.appname.hbase.ycluster. IN A 123.123.123.120
appcatalog-1.appname.hbase.ycluster. IN A 123.123.123.121
appcatalog-2.appname.hbase.ycluster. IN A 123.123.123.122
appcatalog-3.appname.hbase.ycluster. IN A 123.123.123.123
{code}

It would be nice to add multi-A record that contains all IP addresses of the same component in addition to the instance based records.  For example:

{code}
appcatalog.appname.hbase.ycluster. IN A 123.123.123.120
appcatalog.appname.hbase.ycluster. IN A 123.123.123.121
appcatalog.appname.hbase.ycluster. IN A 123.123.123.122
appcatalog.appname.hbase.ycluster. IN A 123.123.123.123
{code}
",Improvement,Resolved,Major,Fixed,2018-05-21T16:13:30.272+0000,2018-05-31T15:49:51.620+0000,Eric Yang,Eric Yang,['yarn-native-services'],[],12,
YARN-8320,[Umbrella] Support CPU isolation for latency-sensitive (LS) service,"Currently NodeManager uses “cpu.cfs_period_us”, “cpu.cfs_quota_us” and “cpu.shares” to isolate cpu resource. However,
 * Linux Completely Fair Scheduling (CFS) is a throughput-oriented scheduler; no support for differentiated latency
 * Request latency of services running on container may be frequent shake when all containers share cpus, and latency-sensitive services can not afford in our production environment.

So we need more fine-grained cpu isolation.

Here we propose a solution using cgroup cpuset to binds containers to different processors, this is inspired by the isolation technique in [Borg system|http://schd.ws/hosted_files/lcccna2016/a7/CAT%20@%20Scale.pdf].",New Feature,Open,Major,,2018-05-18T09:17:39.876+0000,2018-06-18T20:03:12.179+0000,,Jiandan Yang ,['nodemanager'],[],23,
YARN-8314,[atsv2 read acls] Update timeline collector to include domain for entities,"
The timeline collector should be updated to add the domain info for entities that do not contain it. The putdomain call will be invoked first by the AM so that the collector & backend are aware of this domain information for that application. From then on, the collector will ensure appending of this information to entities written to timeline service.

",Sub-task,Open,Major,,2018-05-17T17:58:07.130+0000,2019-08-30T06:08:23.601+0000,Abhishek Modi,Vrushali C,[],[],0,YARN-9802
YARN-8303,YarnClient should contact TimelineReader for application/attempt/container report,"YarnClient get app/attempt/container information from RM. If RM doesn't have then queried to ahsClient. When ATSv2 is only enabled, yarnClient will result empty. 

YarnClient is used by many users which result in empty information for app/attempt/container report. 

Proposal is to have adapter from yarn client so that app/attempt/container reports can be generated from AHSv2Client which does REST API to TimelineReader and get the entity and convert it into app/attempt/container report.",Sub-task,Resolved,Critical,Fixed,2018-05-16T09:03:44.660+0000,2018-11-16T13:50:39.583+0000,Abhishek Modi,Rohith Sharma K S,[],[],35,YARN-7055
YARN-8298,Yarn Service Upgrade: Support express upgrade of a service,"Currently service upgrade involves 2 steps
 * initiate upgrade by providing new spec
 * trigger upgrade of each instance/component

 

We need to add the ability to upgrade the service in one shot:
 # Aborting the upgrade will not be supported
 # Upgrade finalization will be done automatically.",Sub-task,Resolved,Major,Fixed,2018-05-15T20:57:58.092+0000,2018-11-27T00:10:09.196+0000,Chandni Singh,Chandni Singh,[],[],32,YARN-7512
YARN-8286,Inform AM of container relaunch,"The AM may need to perform actions when a container has been relaunched. For example, the service AM would want to change the state it has recorded for the container and retrieve new container status for the container, in case the container IP has changed. (The NM would also need to remove the IP it has stored for the container, so container status calls don't return an IP for a container that is not currently running.)",Sub-task,Open,Critical,,2018-05-12T14:09:24.988+0000,2020-02-27T12:53:03.380+0000,Adam Antal,Billie Rinaldi,[],[],4,YARN-4725
YARN-8283,[Umbrella] MaWo - A Master Worker framework on top of YARN Services,"There is a need for an application / framework to handle Master-Worker scenarios. There are existing frameworks on YARN which can be used to run a job in distributed manner such as Mapreduce, Tez, Spark etc. But master-worker use-cases usually are force-fed into one of these existing frameworks which have been designed primarily around data-parallelism instead of generic Master Worker type of computations.

In this JIRA, we’d like to contribute MaWo - a YARN Service based framework that achieves this goal. The overall goal is to create an app that can take an input job specification with tasks, their durations and have a Master dish the tasks off to a predetermined set of workers. The components will be responsible for making sure that the tasks and the overall job finish in specific time durations.

We have been using a version of the MaWo framework for running unit tests of Hadoop in a parallel manner on an existing Hadoop YARN cluster. What typically takes 10 hours to run all of Hadoop project’s unit-tests can finish under 20 minutes on a MaWo app of about 50 containers!

YARN-3307 was an original attempt at this but through a first-class YARN app. In this JIRA, we instead use YARN Service for orchestration so that our code can focus on the core Master Worker paradigm.",New Feature,Open,Major,,2018-05-11T22:39:18.619+0000,2020-01-08T23:25:47.835+0000,Yesha Vora,Yesha Vora,[],[],3,
YARN-8256,Pluggable provider for node membership management,"h1. Background

HDFS-7541 introduced a pluggable provider framework for node membership management, which gives HDFS the flexibility to have different ways to manage node membership for different needs.

[org.apache.hadoop.hdfs.server.blockmanagement.HostConfigManager|https://github.com/apache/hadoop/blob/trunk/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/HostConfigManager.java] is the class which provides the abstraction. Currently, there are 2 implementations in the HDFS codebase:

1) [org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager|https://github.com/apache/hadoop/blob/trunk/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/HostFileManager.java] which uses 2 config files which are defined by the properties dfs.hosts and dfs.hosts.exclude.

2) [org.apache.hadoop.hdfs.server.blockmanagement.CombinedHostFileManager|https://github.com/apache/hadoop/blob/trunk/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/blockmanagement/CombinedHostFileManager.java] which uses a single JSON file defined by the property dfs.hosts.

dfs.namenode.hosts.provider.classname is the property determining which implementation is used
h1. Problem

YARN should be consistent with HDFS in terms of pluggable provider for node membership management. The absence of it makes YARN impossible to have other config sources, e.g., ZooKeeper, database, other config file formats, etc.
h1. Proposed solution

[org.apache.hadoop.yarn.server.resourcemanager.NodesListManager|https://github.com/apache/hadoop/blob/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/NodesListManager.java] is the class for managing YARN node membership today. It uses [HostsFileReader|https://github.com/apache/hadoop/blob/trunk/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/HostsFileReader.java] to read config files specified by the property yarn.resourcemanager.nodes.include-path for nodes to include and yarn.resourcemanager.nodes.nodes.exclude-path for nodes to exclude.

The proposed solution is to

1) introduce a new interface {color:#008000}HostsConfigManager{color} which provides the abstraction for node membership management. Update {color:#008000}NodeListManager{color} to depend on {color:#008000}HostsConfigManager{color} instead of {color:#008000}HostsFileReader{color}. Then create a wrapper class for {color:#008000}HostsFileReader{color} which implements the interface.

2) introduce a new config property {color:#008000}yarn.resourcemanager.hosts-config.manager.class{color} for specifying the implementation class. Set the default value to the wrapper class of {color:#008000}HostsFileReader{color} for backward compatibility between new code and old config.",New Feature,Open,Major,,2018-05-07T21:43:18.041+0000,2026-02-12T22:20:45.825+0000,,Dagang Wei,['resourcemanager'],['pull-request-available'],8,
YARN-8250,Create another implementation of ContainerScheduler to support NM overallocation,"YARN-6675 adds NM over-allocation support by modifying the existing ContainerScheduler and providing a utilizationBased resource tracker.

However, the implementation adds a lot of complexity to ContainerScheduler, and future tweak of over-allocation strategy based on how much containers have been launched is even more complicated.

As such, this Jira proposes a new ContainerScheduler that always launch guaranteed containers immediately and queues opportunistic containers. It relies on a periodical check to launch opportunistic containers. ",Improvement,Resolved,Major,Won't Do,2018-05-04T19:35:20.301+0000,2018-10-05T00:40:01.079+0000,Haibo Chen,Haibo Chen,[],[],29,
YARN-8240,Add queue-level control to allow all applications in a queue to opt-out,,Sub-task,Resolved,Major,Fixed,2018-05-01T21:09:03.444+0000,2018-06-04T22:07:21.898+0000,Haibo Chen,Haibo Chen,[],[],8,YARN-1011
YARN-8238,[Umbrella] YARN deep learning framework examples to run on native service,"-Umbrella- jira -to track various deep learning frameworks which can run on yarn native services.-

 

Please go to YARN-8135 Submarine for deep learning framework support on YARN. ",Improvement,Resolved,Major,Fixed,2018-04-30T17:22:07.861+0000,2018-11-07T07:24:00.894+0000,Sunil G,Sunil G,['yarn-native-services'],[],1,
YARN-8192,Introduce container readiness check type,"In some cases, the AM may not be able to perform a readiness check for a container. For example, if a docker container is using a custom network type, its IP may not be reachable from the AM. In this case, the AM could request a new container to perform a readiness command, and use the exit status of the container to determine whether the readiness check succeeded or not.",Sub-task,Patch Available,Major,,2018-04-20T16:24:04.468+0000,2026-02-12T22:20:47.486+0000,Billie Rinaldi,Billie Rinaldi,[],[],9,YARN-7054
YARN-8186,[Router] Federation: routing getAppState REST invocations transparently to multiple RMs,This JIRA tracks the design/implementation of the layer for routing RMWebServicesProtocol requests to the appropriate RM(s) in a federated YARN cluster.,Sub-task,Resolved,Major,Fixed,2018-04-19T21:36:19.763+0000,2018-04-20T00:09:25.386+0000,Giovanni Matteo Fumarola,Giovanni Matteo Fumarola,[],[],7,YARN-7402
YARN-8178,[Umbrella] Resource Over-commitment Based on Opportunistic Container Preemption,"We want to provide an opportunistic container-based solution to achieve more aggressive preemption with shorter preemption monitoring interval. 

Instead of allowing applications to allocate resources with a mix of guaranteed and opportunistic containers, we allow newly submitted applications to only contain guaranteed containers. Meanwhile, we change the preemption logic to, instead of killing containers, demote guaranteed containers into opportunistic ones, so that when there are new applications submitted, we can ensure that these containers can be launched by preempting opportunistic containers.

This approach is related to YARN-1011 but achieves over-commitment in a different way. However, we rely on opportunistic container part implemented in YARN-1011 to make our design work well. ",New Feature,Open,Major,,2018-04-18T22:00:05.135+0000,2018-09-20T18:13:11.435+0000,,Zian Chen,['capacity scheduler'],[],6,
YARN-8170,Caching Node Rack Location,"When the MapReduce ApplicationMaster is trying to assign Mappers to Nodes, it loops all of the queued Mappers and looks up the ideal rack location of each Mapper.

Under the covers, the rack awareness script is being called, once per Mapper. The results do get cached, but for only as long as the ApplicationMaster exists. That means that the script gets called N times each time a new ApplicationMaster is launched. If the rack awareness script is complex or requires an external lookup, this can be a slow process and can even DDOS the external lookup source.

There are at least a couple of ways to tackle this...
 # Add a DNSToSwitchMapping implementation that caches in an external cache (i.e., memcached) instead of memory so that all ApplicationMasters can share the same cache and would rarely call the rack awareness script.
 # Like the shuffle service, add a new NodeManager auxiliary which exposes a rack lookup API so that the NodeManagers are responsible for caching the rack locations. This would also require a DNSToSwitchMapping implementation that interacts with this new service.
 # Other?

{code:java}
          String host = allocated.getNodeId().getHost();
          String rack = RackResolver.resolve(host).getNetworkLocation();
{code}
[https://github.com/apache/hadoop/blob/453d48bdfbb67ed3e66c33c4aef239c3d7bdd3bc/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/rm/RMContainerAllocator.java#L1435-L1464]",New Feature,Open,Minor,,2018-04-17T16:06:43.902+0000,2018-05-09T20:13:13.581+0000,,David Mollitor,"['applications', 'nodemanager']",[],0,
YARN-8157,Update timeline collector to store and add domain info to entities while writing,"
As part of YARN-3895 ,  the timeline collector will enable storing the domain information in denormalized in the tables when security is enabled. 

The collector would need to maintain a map in memory for app id to domain id & info and append this to entities while writing. 

In case the collector goes down, this map is to be repopulated which is part of YARN-8089
",Sub-task,Open,Major,,2018-04-12T18:01:30.801+0000,2019-08-30T06:25:55.387+0000,Abhishek Modi,Vrushali C,[],[],1,YARN-9802
YARN-8146,Remove LinkedList From resourcemanager.reservation.planning Package,"Remove {{LinkedList}} instances in favor of {{ArrayList}}.  {{ArrayList}} is generally more memory efficient, require less memory fragmentation, and with memory localization, faster to iterate.",Improvement,Patch Available,Trivial,,2018-04-11T12:29:46.152+0000,2019-02-06T17:06:18.340+0000,David Mollitor,David Mollitor,['reservation system'],[],4,
YARN-8137,Parallelize node addition in SLS,"Right now, nodes are added sequentially and it can take a long time if there are large number of nodes. With this change nodes will be added in parallel and thus reduce the node addition time.",Sub-task,Resolved,Major,Fixed,2018-04-10T04:04:57.337+0000,2018-04-20T18:23:40.682+0000,Abhishek Modi,Abhishek Modi,[],[],14,YARN-5065
YARN-8134,Support specifying node resources in SLS,"At present, all nodes have same resources in SLS. We need to add capability to add different resources to different nodes in SLS.",Sub-task,Resolved,Major,Fixed,2018-04-09T16:50:58.703+0000,2018-04-17T20:12:06.191+0000,Abhishek Modi,Abhishek Modi,[],[],8,YARN-5065
YARN-8131,Provice CLI option to DS for publishing entities into sub application,"Post YARN-6936, TimelineV2Client exposes API to publish entities into sub application table. We should add this CLI option in DS so that API can be tested. ",Bug,Open,Major,,2018-04-09T10:48:52.664+0000,2018-04-12T17:52:21.994+0000,,Rohith Sharma K S,[],[],6,
YARN-8104,Add API to fetch node to attribute mapping,Add node/host to attribute mapping in yarn client API.,Sub-task,Resolved,Major,Fixed,2018-04-01T14:26:54.269+0000,2018-09-12T11:38:48.521+0000,Bibin Chundatt,Bibin Chundatt,[],[],20,YARN-3409
YARN-8103,Add CLI interface to  query node attributes,YARN-8100 will add API interface for querying the attributes. CLI interface for querying node attributes for each nodes and list all attributes in cluster.,Sub-task,Resolved,Major,Fixed,2018-04-01T07:54:58.120+0000,2018-09-12T11:38:50.883+0000,Bibin Chundatt,Bibin Chundatt,[],[],31,YARN-3409
YARN-8100,Support API interface to query cluster attributes and attribute to nodes,"Jira is to add api to queue cluster node attributes and Attributes to node query 

*YarnClient*
{code}
getAttributesToNodes()
getAttributesToNodes(Set<NodeAttribute> attribute)
getClusterAttributes()
{code}",Sub-task,Resolved,Major,Fixed,2018-03-31T05:09:01.384+0000,2018-09-12T11:38:47.736+0000,Bibin Chundatt,Bibin Chundatt,[],[],22,YARN-3409
YARN-8092,Expose Node Attributes info via RM nodes REST API,Query node-attributes info via nodes REST API via RM.,Sub-task,Resolved,Major,Fixed,2018-03-30T01:46:07.406+0000,2018-09-12T11:38:44.662+0000,Weiwei Yang,Weiwei Yang,['resourcemanager'],[],11,YARN-3409
YARN-8081,Yarn Service Upgrade: Add support to upgrade a component,Yarn service upgrade should provide an API to upgrade the component.,Sub-task,Resolved,Major,Fixed,2018-03-27T21:55:08.956+0000,2018-05-16T06:44:50.596+0000,Chandni Singh,Chandni Singh,[],[],10,YARN-7512
YARN-8080,YARN native service should support component restart policy,"Existing native service assumes the service is long running and never finishes. Containers will be restarted even if exit code == 0. 

To support boarder use cases, we need to allow restart policy of component specified by users. Propose to have following policies:
1) Always: containers always restarted by framework regardless of container exit status. This is existing/default behavior.
2) Never: Do not restart containers in any cases after container finishes: To support job-like workload (for example Tensorflow training job). If a task exit with code == 0, we should not restart the task. This can be used by services which is not restart/recovery-able.
3) On-failure: Similar to above, only restart task with exitcode != 0. 

Behaviors after component *instance* finalize (Succeeded or Failed when restart_policy != ALWAYS): 
1) For single component, single instance: complete service.
2) For single component, multiple instance: other running instances from the same component won't be affected by the finalized component instance. Service will be terminated once all instances finalized. 
3) For multiple components: Service will be terminated once all components finalized.",Task,Resolved,Critical,Fixed,2018-03-27T18:23:01.815+0000,2021-01-29T12:37:22.167+0000,Suma Shivaprasad,Wangda Tan,[],[],48,
YARN-7307,Allow client/AM update supported resource types via YARN APIs,"Existing feature requires every client has a resource-types.xml in order to use multiple resource types, should we allow client/AM update supported resource types via Yarn APIs?
",Sub-task,Resolved,Blocker,Fixed,2017-10-09T22:26:22.067+0000,2025-12-16T00:25:06.239+0000,Sunil G,Wangda Tan,"['nodemanager', 'resourcemanager']",['pull-request-available'],24,YARN-7069
YARN-8065,Application is failing when AM node is stopped,"Configure yarn.scheduler.capacity.schedule-asynchronously.enable as *true* and 

yarn.resourcemanager.nodemanagers.heartbeat-interval-ms as *60000* .Run application and make *AM node* down. Application will fail.

If same node is picked up to launch AM attempt again, application can fail.More likely to occur with lesser number of nodes.

 

 

 

 

 
  ",Bug,Open,Major,,2018-03-23T08:41:31.966+0000,2018-03-29T12:42:37.375+0000,Bilwa S T,Bilwa S T,[],[],2,
YARN-8052,Move overwriting of service definition during flex to service master,"The overwrite of service definition during flex is done from the ServiceClient. 
During auto finalization of upgrade, the current service definition gets overwritten as well by the service master. This creates a potential conflict. 

Need to move the overwrite of service definition during flex to the ServiceClient. 
Discussed on YARN-8018.",Sub-task,Open,Major,,2018-03-20T00:48:37.249+0000,2019-08-26T08:01:59.570+0000,Chandni Singh,Chandni Singh,[],[],1,YARN-7054
YARN-8042,Improve debugging on ATSv2 reader server,"It's been inconvenient to debug issues that happened on the read path. Typically, a query sent from a client is parsed into a TimelineReaderContext, TimelineEntityFilters  and TimelineDataToRetrieve  which are independent of the underlying backend storage implementations.    Then the general ATSv2 building blocks are then translated into a SCAN and GET query in HBase with specified row keys and filters.

To facilitate easy debugging, additional debug level logging messages (ideally that can be enabled dynamically without restarting TimelineReaderServer process) can be added at the boundary to narrow down the scope of investigation.

A good example of this is logging the scan or get query before it is sent to HBase and the result after the query returns from HBase. YARN support folks who are not necessarily HBase experts can present the debug messages to HBase experts and get help. (I had to remotely connect to TimelineReaderServer, set up breakpoints and get the hbase queries every time I suspect there is a bug in HBase)

 

 

 

 ",Sub-task,Open,Major,,2018-03-17T18:02:21.580+0000,2019-08-30T06:25:35.355+0000,Haibo Chen,Haibo Chen,[],[],1,YARN-9802
YARN-8038,Support data retention policy in YARN ATSv2,"The data stored today in ATSv2 is either system data in that it is generated by YARN, or custom data that is generated by Application Masters themselves.

Data retention policy is necessary to maintain feature parity between the new MR JHS with the current JHS.

We may want to provide separate policies for system data and custom data.",Sub-task,Open,Major,,2018-03-16T15:34:56.842+0000,2019-08-30T06:25:38.939+0000,,Haibo Chen,['timelineservice'],[],0,YARN-9802
YARN-8018,Yarn Service Upgrade: Add support for initiating service upgrade,"Add support for initiating service upgrade which includes the following main changes:
 # Service API to initiate upgrade
 # Persist service version on hdfs
 # Start the upgraded version of service",Sub-task,Resolved,Major,Fixed,2018-03-09T21:17:43.722+0000,2018-04-12T21:09:50.420+0000,Chandni Singh,Chandni Singh,[],[],35,YARN-7512
YARN-8015,Support all types of placement constraint support for Capacity Scheduler,"AppPlacementAllocator currently only supports intra-app anti-affinity placement constraints, once YARN-8002 and YARN-8013 are resolved, it needs to support inter-app constraints too. Also, this may require some refactoring on the existing code logic. Use this JIRA to track.",Sub-task,Resolved,Critical,Fixed,2018-03-09T05:36:44.030+0000,2018-11-05T18:02:00.466+0000,Weiwei Yang,Weiwei Yang,['capacity scheduler'],[],21,YARN-7812
