issue_key,issue_type,comments,description_length,lda_baseline_topic,lda_ontology_topic,bertopic_topic,dd_existence,dd_property,dd_executive
YARN-6398,Sub-task,12,16,1,0,-1,True,False,False
YARN-6396,Improvement,9,48,2,2,-1,False,True,False
YARN-6390,Sub-task,1,27,1,0,6,True,False,False
YARN-6345,Sub-task,15,45,1,1,-1,True,False,False
YARN-6369,Sub-task,0,20,1,4,0,True,False,False
YARN-6366,Bug,14,42,1,0,-1,True,False,False
YARN-6364,Improvement,1,39,1,2,0,True,False,False
YARN-6358,Improvement,0,42,1,3,0,False,True,False
YARN-6357,Sub-task,25,107,2,3,6,True,False,False
YARN-6355,Improvement,13,54,2,4,3,True,False,False
YARN-6347,Sub-task,5,44,1,1,8,True,False,False
YARN-6320,Bug,4,110,0,2,0,True,True,False
YARN-6314,Sub-task,6,62,1,1,5,True,False,False
YARN-6306,Sub-task,16,15,2,0,7,True,False,False
YARN-6282,Sub-task,4,28,0,3,-1,True,False,False
YARN-6266,New Feature,3,26,1,0,0,True,False,False
YARN-6255,Sub-task,3,20,2,0,6,True,True,False
YARN-6254,New Feature,4,25,2,4,-1,True,False,False
YARN-6234,Sub-task,12,30,0,1,-1,True,False,False
YARN-6224,Sub-task,2,38,1,2,0,False,True,False
YARN-6223,New Feature,22,138,1,0,-1,True,False,True
YARN-6207,Bug,48,23,0,4,0,True,False,False
YARN-6192,Sub-task,2,15,1,0,-1,True,False,False
YARN-6179,Sub-task,1,73,2,4,1,True,False,False
YARN-6167,Sub-task,6,30,0,1,7,True,False,False
YARN-6162,Bug,3,58,2,2,6,True,False,False
YARN-6161,Bug,3,27,1,0,-1,True,False,False
YARN-6160,Sub-task,9,27,1,0,2,True,False,False
YARN-6137,Bug,8,41,2,4,-1,True,False,False
YARN-6127,Sub-task,13,34,2,1,-1,True,False,False
YARN-1474,Sub-task,62,13,2,2,4,True,False,False
YARN-6121,Sub-task,2,19,2,1,7,True,False,False
YARN-6101,Improvement,4,115,1,2,0,True,True,False
YARN-6100,Sub-task,6,7,2,4,5,True,False,False
YARN-6099,Sub-task,8,6,2,2,5,True,False,False
YARN-6095,Sub-task,3,22,2,3,-1,True,False,False
YARN-6080,Bug,1,17,2,3,-1,True,False,False
YARN-6069,Sub-task,34,31,2,3,1,True,False,False
YARN-6067,Sub-task,1,23,2,1,-1,True,False,False
YARN-6058,Sub-task,7,53,1,4,1,True,False,False
YARN-6045,Improvement,0,42,0,2,0,False,True,False
YARN-6043,New Feature,4,103,1,0,-1,True,False,True
YARN-6040,Sub-task,16,60,2,4,-1,True,True,False
YARN-6037,Improvement,0,41,2,1,4,True,False,False
YARN-6011,Sub-task,6,6,2,1,-1,True,False,False
YARN-6008,Bug,15,63,2,1,4,True,False,False
YARN-6005,Sub-task,2,12,2,4,-1,True,False,False
YARN-5990,Bug,0,26,1,4,0,True,False,False
YARN-5984,Bug,4,27,2,4,0,True,True,False
YARN-5983,New Feature,8,90,1,0,-1,False,True,True
YARN-5972,Bug,10,89,1,1,0,True,False,False
YARN-5955,Improvement,8,12,0,1,-1,False,True,False
YARN-5953,Sub-task,13,8,2,4,-1,True,False,False
YARN-5952,Sub-task,18,10,2,4,-1,True,False,False
YARN-5949,Sub-task,16,24,1,2,-1,True,False,False
YARN-5940,Sub-task,0,33,2,4,6,True,False,False
YARN-5932,Bug,16,39,2,4,-1,True,False,False
YARN-5910,New Feature,41,81,1,2,-1,True,True,False
YARN-5906,Sub-task,17,129,1,2,-1,True,True,False
YARN-5905,Sub-task,8,60,2,4,-1,True,False,False
YARN-5900,Improvement,1,60,1,2,0,True,True,False
YARN-5889,Bug,86,28,0,2,0,False,True,False
YARN-5887,Sub-task,2,61,0,1,0,False,True,False
YARN-5886,Sub-task,4,50,0,1,0,True,False,False
YARN-5883,Sub-task,4,29,1,2,-1,False,True,False
YARN-5881,Improvement,15,40,1,2,0,True,False,False
YARN-5872,Sub-task,6,21,2,4,3,True,False,False
YARN-5869,Improvement,1,23,1,2,0,True,True,False
YARN-5860,Bug,0,47,0,1,0,True,True,False
YARN-5846,Improvement,6,108,1,2,0,True,True,False
YARN-5832,Sub-task,0,27,1,2,0,True,False,False
YARN-5820,Bug,15,14,2,2,4,True,False,False
YARN-2215,Bug,4,18,1,4,0,True,False,False
YARN-5789,Improvement,0,70,1,4,-1,True,False,True
YARN-5780,New Feature,3,26,2,0,-1,True,False,False
YARN-5769,Sub-task,4,20,2,4,-1,True,False,False
YARN-5761,Sub-task,22,21,0,4,0,True,False,False
YARN-5740,Sub-task,4,59,2,1,-1,True,False,False
YARN-5739,Sub-task,50,79,2,3,1,True,False,False
YARN-5734,New Feature,33,191,0,4,-1,True,True,False
YARN-5732,New Feature,2,43,1,1,7,True,True,False
YARN-5727,Sub-task,4,91,1,4,2,True,True,False
YARN-5724,Task,7,74,0,4,0,True,True,False
YARN-5718,Bug,11,72,0,3,-1,True,False,False
YARN-5716,Sub-task,24,17,0,2,0,True,False,False
YARN-5704,Task,23,23,1,0,2,True,False,False
YARN-5702,Sub-task,4,37,2,4,-1,True,False,False
YARN-5715,Sub-task,37,123,2,3,1,True,False,False
YARN-5708,Sub-task,12,12,2,2,-1,True,False,False
YARN-5699,Sub-task,44,45,1,4,1,True,False,False
YARN-5692,Improvement,1,43,1,4,-1,True,False,False
YARN-5683,New Feature,8,364,2,2,-1,True,True,False
YARN-5681,Sub-task,3,29,2,3,1,True,False,False
YARN-5677,Bug,24,91,0,1,7,True,True,False
YARN-5648,Sub-task,11,6,2,3,-1,False,True,False
YARN-5673,New Feature,12,197,1,0,2,True,True,False
YARN-5668,Improvement,1,41,2,3,-1,True,False,False
YARN-5667,Task,37,80,2,4,1,True,False,False
YARN-5658,Improvement,6,28,2,4,-1,True,False,False
YARN-5644,Sub-task,1,65,2,1,-1,True,False,False
YARN-5638,Sub-task,20,36,2,3,1,True,False,False
YARN-5637,Sub-task,15,21,1,0,4,True,False,False
YARN-5606,New Feature,5,75,1,0,8,True,False,False
YARN-5636,Improvement,2,63,1,1,0,True,True,False
YARN-5634,Sub-task,16,27,1,4,0,True,False,False
YARN-5629,Sub-task,2,25,2,3,1,True,False,False
YARN-5627,Sub-task,5,34,2,2,1,True,False,False
YARN-5626,Sub-task,6,39,2,4,1,True,False,False
YARN-5605,Sub-task,7,20,1,2,0,True,False,False
YARN-5619,Improvement,0,82,1,2,5,True,False,False
YARN-5618,Sub-task,2,29,1,4,0,True,False,False
YARN-5612,Sub-task,2,21,2,4,3,True,False,False
YARN-5611,Sub-task,47,16,1,4,-1,True,False,False
YARN-5593,Improvement,3,44,1,1,0,True,False,False
YARN-5590,Sub-task,8,7,1,2,-1,True,True,False
YARN-5587,Sub-task,25,14,1,0,-1,True,False,False
YARN-5585,Sub-task,129,86,2,4,1,True,False,False
YARN-5556,Sub-task,42,27,0,1,0,True,False,False
YARN-5547,Improvement,37,47,2,3,-1,True,False,False
YARN-5541,New Feature,1,20,0,1,0,True,False,False
YARN-5532,New Feature,7,28,1,1,-1,True,False,False
YARN-5531,Sub-task,23,39,2,0,3,True,False,False
YARN-5520,Improvement,7,144,0,4,0,True,False,False
YARN-5519,Sub-task,8,18,0,4,3,True,False,False
YARN-5518,Improvement,1,74,1,4,6,True,True,False
YARN-5517,Improvement,4,60,1,0,-1,True,False,False
YARN-5516,Sub-task,12,13,1,4,-1,True,False,False
YARN-5505,Sub-task,4,32,1,0,2,True,False,False
YARN-5457,Sub-task,11,11,2,0,-1,True,True,False
YARN-5501,Improvement,14,81,1,1,0,True,True,False
YARN-5479,Improvement,11,185,1,2,0,False,True,False
YARN-5478,Sub-task,10,20,2,0,0,True,False,False
YARN-5473,Sub-task,15,18,1,2,0,True,False,False
YARN-5468,New Feature,13,45,1,0,0,True,True,False
YARN-5461,Sub-task,2,7,1,0,-1,True,False,False
YARN-5452,Sub-task,1,16,1,4,-1,True,False,False
YARN-5426,Bug,2,39,1,0,2,True,False,True
YARN-5413,Sub-task,5,47,2,4,3,True,False,False
YARN-5412,Sub-task,15,47,2,4,3,True,False,False
YARN-5411,Sub-task,11,43,2,4,3,True,False,False
YARN-5410,Sub-task,9,19,2,4,3,True,False,False
YARN-5408,Sub-task,3,23,2,4,-1,True,False,False
YARN-5407,Sub-task,5,27,1,0,-1,True,False,False
YARN-5406,Sub-task,6,22,1,0,-1,True,False,False
YARN-5396,New Feature,6,59,2,2,5,True,True,False
YARN-5392,Sub-task,32,39,1,4,-1,True,False,False
YARN-5391,Sub-task,11,7,2,4,3,True,False,False
YARN-5390,Sub-task,8,22,1,4,3,True,False,False
YARN-5357,Sub-task,5,161,2,3,-1,True,False,False
YARN-5387,Sub-task,2,63,0,4,0,True,False,False
YARN-5386,Sub-task,0,25,1,4,-1,True,False,False
YARN-5385,Sub-task,12,23,1,4,-1,True,False,False
YARN-5384,Sub-task,14,25,1,4,-1,True,False,False
YARN-5366,Sub-task,40,77,1,1,2,True,False,False
YARN-5355,New Feature,17,23,1,0,-1,True,False,False
YARN-5352,Improvement,4,39,1,1,2,True,False,False
YARN-5342,Sub-task,24,60,1,2,0,True,False,False
YARN-5261,New Feature,11,28,1,2,0,True,True,False
YARN-5330,Sub-task,8,28,1,4,-1,True,False,False
YARN-5329,Sub-task,14,29,1,4,-1,True,False,False
YARN-5328,Sub-task,20,30,1,4,-1,True,False,False
YARN-5327,Sub-task,16,28,1,4,0,True,False,False
YARN-5326,Improvement,3,40,1,4,0,True,False,False
YARN-5325,Sub-task,18,17,1,4,3,True,False,False
YARN-5324,Sub-task,21,14,2,4,3,True,False,False
YARN-5321,Sub-task,13,12,1,2,0,True,False,False
YARN-5307,Sub-task,13,24,2,4,3,True,False,False
YARN-5304,Sub-task,13,69,2,3,-1,True,False,False
YARN-5295,Bug,6,77,0,4,0,True,False,False
YARN-5292,Sub-task,37,18,2,1,7,True,False,False
YARN-5290,Bug,4,59,0,1,-1,True,False,False
YARN-5281,Sub-task,8,35,1,4,1,True,True,False
YARN-5280,New Feature,39,49,1,0,-1,False,True,False
YARN-5256,Bug,24,16,2,4,8,True,False,False
YARN-5255,Improvement,0,56,1,2,0,True,False,False
YARN-5225,Improvement,0,39,1,4,0,True,False,False
YARN-5220,New Feature,0,87,0,1,0,True,True,False
YARN-5218,Sub-task,3,11,1,4,-1,True,False,False
YARN-5215,Improvement,33,26,1,2,0,True,True,False
YARN-5211,Improvement,1,42,1,2,0,True,False,False
YARN-5207,New Feature,3,37,1,4,3,True,False,False
YARN-5202,Improvement,8,167,1,2,-1,True,True,False
YARN-5177,Improvement,1,47,1,2,2,True,False,False
YARN-5175,Bug,1,69,2,4,-1,True,True,False
YARN-5140,Bug,2,105,1,2,-1,False,True,False
YARN-5139,New Feature,38,53,1,2,0,True,False,False
YARN-5137,Sub-task,21,13,1,0,-1,False,True,False
YARN-5113,Sub-task,17,10,1,0,0,True,True,False
YARN-5086,Bug,1,32,1,1,-1,True,False,False
YARN-5085,Bug,10,32,1,1,-1,True,False,False
YARN-5081,Sub-task,3,31,2,3,7,True,True,False
YARN-5079,New Feature,18,126,1,0,6,True,False,True
YARN-5078,Bug,0,55,1,1,-1,True,False,False
YARN-5076,Bug,36,26,2,4,-1,False,True,False
YARN-5046,Task,2,36,2,4,0,True,False,False
YARN-5025,New Feature,1,45,1,2,0,True,True,False
YARN-5015,Sub-task,29,40,1,4,-1,True,False,False
YARN-5008,Bug,7,39,2,2,-1,False,True,False
YARN-4993,Sub-task,2,26,2,4,5,True,False,False
YARN-4985,Sub-task,17,58,2,4,-1,True,False,False
YARN-4958,Improvement,27,172,2,3,-1,True,False,False
YARN-4966,Sub-task,9,19,2,4,5,True,False,False
YARN-4963,Improvement,17,54,1,2,9,True,True,False
YARN-4962,Improvement,4,37,1,2,0,True,False,False
YARN-4952,Sub-task,0,46,1,4,-1,True,False,False
YARN-4950,Test,1,23,1,4,0,True,False,False
YARN-4948,Sub-task,25,34,2,4,-1,True,False,False
YARN-4945,Bug,61,19,1,4,0,True,False,False
YARN-4213,Bug,3,25,2,4,-1,True,False,False
YARN-4904,Improvement,0,4,2,2,5,True,False,False
YARN-4902,New Feature,18,52,1,4,0,True,False,True
YARN-4864,Bug,0,71,1,2,0,True,False,False
YARN-4889,Sub-task,14,25,1,4,0,True,False,False
YARN-4888,Sub-task,26,29,1,4,0,True,False,False
YARN-4887,Sub-task,15,29,1,4,-1,True,False,False
YARN-4879,Improvement,12,54,1,3,-1,True,True,False
YARN-4877,Sub-task,0,78,2,3,4,True,True,False
YARN-4876,Improvement,16,36,1,1,-1,True,False,False
YARN-4874,Sub-task,0,5,1,1,-1,True,False,False
YARN-4873,Sub-task,0,5,0,2,0,True,False,False
YARN-4870,Sub-task,0,7,1,1,-1,True,False,False
YARN-4835,Sub-task,8,58,2,4,-1,True,False,False
YARN-4830,Sub-task,11,11,1,0,-1,True,False,False
YARN-4822,Sub-task,22,94,1,2,0,True,False,False
YARN-4793,Bug,12,153,1,4,6,True,False,False
YARN-4781,Sub-task,33,48,1,2,0,True,True,False
YARN-4777,Improvement,4,65,2,4,0,True,True,False
YARN-4773,Bug,18,43,2,2,5,True,False,False
YARN-4766,Improvement,18,51,2,1,5,True,False,False
YARN-4758,New Feature,6,103,1,4,6,True,True,False
YARN-4757,New Feature,50,104,2,4,6,True,True,True
YARN-4742,Bug,1,13,1,0,0,True,False,False
YARN-4752,Bug,13,43,1,2,0,True,False,False
YARN-4737,Bug,14,29,2,4,6,True,False,True
YARN-4730,Bug,2,117,1,2,0,True,True,False
YARN-4726,New Feature,5,109,1,0,6,True,False,False
YARN-4725,Bug,3,83,1,1,-1,True,False,False
YARN-4724,Bug,0,138,1,1,0,True,False,False
YARN-4719,Improvement,22,64,1,2,0,False,True,False
YARN-4716,Sub-task,7,85,2,3,1,True,False,False
YARN-4715,Sub-task,12,29,2,0,-1,True,False,False
YARN-4696,Sub-task,31,64,0,1,4,True,False,False
YARN-4692,New Feature,13,65,1,0,6,True,False,False
YARN-4683,Sub-task,6,18,2,4,-1,True,False,False
YARN-4676,Sub-task,80,114,0,1,-1,True,True,False
YARN-4665,Bug,10,144,2,2,-1,True,False,False
YARN-4619,Improvement,0,62,1,2,-1,True,True,False
YARN-4611,Bug,5,25,1,2,-1,True,False,False
YARN-4479,Sub-task,48,34,1,2,0,True,False,False
YARN-4602,Sub-task,2,96,1,1,-1,True,True,False
YARN-4601,Sub-task,3,50,1,1,-1,True,False,False
YARN-4600,New Feature,0,19,2,0,-1,True,False,False
YARN-4599,Sub-task,43,28,1,2,-1,True,False,False
YARN-4597,New Feature,54,24,1,1,-1,True,False,False
YARN-4595,Sub-task,21,43,1,0,2,True,False,False
YARN-4591,Improvement,7,33,2,3,-1,True,False,False
YARN-4561,Sub-task,2,62,1,3,-1,True,False,False
YARN-4578,Sub-task,6,25,1,0,2,True,False,False
YARN-4576,Improvement,19,200,1,1,-1,True,False,False
YARN-4559,Bug,12,15,2,3,-1,True,False,False
YARN-4553,Sub-task,7,44,1,0,2,True,False,False
YARN-4523,Sub-task,0,22,1,4,8,True,False,False
YARN-4537,Sub-task,15,48,1,2,0,True,False,False
YARN-4515,Sub-task,21,21,1,4,4,True,False,False
YARN-4511,Sub-task,53,7,1,4,0,True,False,False
YARN-3776,Sub-task,0,26,1,1,0,True,False,False
YARN-4496,Improvement,20,55,2,1,1,True,True,False
YARN-4473,Sub-task,0,34,2,3,4,True,False,False
YARN-4471,Sub-task,0,19,1,0,4,True,False,False
YARN-4466,Bug,6,24,2,1,4,False,True,False
YARN-4349,New Feature,8,51,2,4,-1,True,False,False
YARN-4447,Sub-task,29,8,2,4,-1,True,False,False
YARN-4443,Sub-task,0,20,2,4,-1,True,False,False
YARN-4438,Improvement,25,19,2,3,-1,True,False,False
YARN-4435,Improvement,11,26,2,4,6,True,False,False
YARN-4433,Improvement,0,58,1,2,0,True,False,False
YARN-4425,Sub-task,9,50,1,2,8,True,False,False
YARN-4420,Sub-task,17,18,2,4,-1,True,False,False
YARN-4417,Bug,4,28,2,3,1,True,False,False
YARN-4412,Sub-task,34,43,0,1,0,True,False,False
YARN-4405,Sub-task,15,32,2,4,-1,True,False,False
YARN-4390,Sub-task,69,42,1,1,0,True,True,False
YARN-4368,Sub-task,9,19,2,3,1,True,True,False
YARN-4360,Sub-task,14,33,1,2,0,True,True,False
YARN-4353,Improvement,8,60,0,4,-1,False,True,False
YARN-4335,Sub-task,19,25,1,0,-1,True,False,False
YARN-4333,Bug,9,58,0,2,0,True,False,False
YARN-4276,Improvement,2,33,1,2,2,True,False,False
YARN-4275,Improvement,7,40,2,4,-1,True,False,False
YARN-4271,Sub-task,8,33,1,0,-1,True,False,False
YARN-4266,Sub-task,58,82,1,0,2,True,False,False
YARN-4265,Sub-task,40,45,2,4,1,True,True,False
YARN-4248,Sub-task,18,23,2,4,-1,True,False,False
YARN-4245,Improvement,1,53,1,1,2,True,True,False
YARN-4234,Sub-task,46,14,2,4,-1,True,False,False
YARN-4233,New Feature,3,47,2,3,1,True,False,False
YARN-4231,Sub-task,1,35,2,4,8,True,False,False
YARN-4225,Bug,26,7,0,4,0,True,False,False
YARN-4224,Sub-task,110,12,2,4,-1,True,False,False
YARN-4221,Sub-task,9,33,2,4,1,True,False,False
YARN-4219,Sub-task,28,32,2,4,1,True,True,False
YARN-4205,Sub-task,53,26,1,1,-1,True,True,False
YARN-4199,Improvement,2,50,2,2,-1,False,True,False
YARN-4197,Sub-task,0,27,0,4,8,True,False,False
YARN-4195,Sub-task,12,21,1,4,8,True,False,False
YARN-4194,Sub-task,10,18,1,4,8,True,False,False
YARN-4193,Improvement,0,31,1,4,8,True,False,False
YARN-4189,Improvement,4,137,1,2,0,True,True,False
YARN-4186,Improvement,4,22,2,3,-1,True,False,False
YARN-4181,Bug,1,74,1,1,-1,True,True,False
YARN-4176,Bug,20,49,0,1,8,True,False,False
YARN-4166,Sub-task,16,10,1,0,-1,True,False,False
YARN-4162,Sub-task,22,23,1,4,-1,True,False,False
YARN-4161,New Feature,32,47,1,2,-1,True,True,False
YARN-4132,Improvement,16,27,0,1,7,True,False,False
YARN-4129,Sub-task,20,33,2,4,1,True,True,False
YARN-4125,Improvement,1,42,0,2,0,True,False,False
YARN-4117,Improvement,17,31,1,0,4,True,False,False
YARN-4108,Sub-task,56,53,1,2,0,True,False,False
YARN-4097,Sub-task,20,31,2,3,1,True,False,False
YARN-4094,Bug,2,83,2,4,6,True,True,False
YARN-4093,Sub-task,4,25,0,4,9,True,False,False
YARN-4091,Sub-task,47,61,1,2,-1,True,False,False
YARN-4088,Improvement,11,92,0,2,9,True,True,False
YARN-4080,Improvement,2,124,1,2,0,True,True,False
YARN-4077,Bug,0,39,1,2,0,True,False,False
YARN-4075,Sub-task,41,16,2,4,-1,True,False,False
YARN-4074,Sub-task,59,26,2,4,1,True,False,False
YARN-4070,Bug,0,30,2,3,-1,True,False,False
YARN-4062,Sub-task,29,28,2,3,-1,True,False,False
YARN-4061,Sub-task,25,15,2,3,1,True,True,False
YARN-4059,Improvement,11,100,1,2,0,True,False,False
YARN-4056,New Feature,3,44,0,2,-1,True,True,False
YARN-4041,Bug,27,36,2,1,-1,False,True,False
YARN-4039,Improvement,5,209,1,2,0,True,True,False
YARN-4024,Improvement,46,26,1,4,-1,True,False,False
YARN-4023,Sub-task,18,10,1,4,1,True,False,False
YARN-4014,Sub-task,33,15,2,4,-1,True,False,False
YARN-4012,Bug,0,22,0,2,-1,True,False,False
YARN-4007,Sub-task,19,23,1,0,2,True,True,False
YARN-3998,Sub-task,56,48,1,1,7,True,False,False
YARN-3997,Bug,10,106,1,1,0,True,False,False
YARN-3983,Bug,10,99,1,2,0,True,False,False
YARN-3981,Sub-task,11,48,2,4,1,True,False,False
YARN-3980,Improvement,44,23,1,4,-1,True,False,False
YARN-3955,Sub-task,24,48,0,2,0,True,False,False
YARN-3970,Sub-task,21,19,1,2,-1,True,False,False
YARN-3969,Sub-task,9,36,1,2,0,True,False,False
YARN-3964,Sub-task,51,51,1,4,-1,True,True,False
YARN-3698,Task,1,24,2,3,5,True,False,False
YARN-3935,Improvement,0,47,2,2,-1,True,False,False
YARN-3942,Sub-task,46,38,2,2,1,True,False,False
YARN-3929,New Feature,6,50,2,4,5,True,False,False
YARN-3928,Improvement,6,27,1,3,-1,True,False,False
YARN-3927,Sub-task,1,34,2,0,-1,True,False,False
YARN-3926,New Feature,21,78,1,0,0,True,True,False
YARN-3923,New Feature,3,92,0,4,9,True,True,False
YARN-3922,New Feature,7,95,0,1,9,True,True,False
YARN-3920,Improvement,15,43,1,2,0,True,True,False
YARN-3914,Sub-task,7,49,2,2,1,True,False,False
YARN-3904,Sub-task,32,40,2,4,-1,True,False,False
YARN-3901,Sub-task,89,84,2,4,1,True,False,False
YARN-3895,Sub-task,29,11,2,4,-1,True,False,False
YARN-3887,Sub-task,25,22,1,4,0,True,False,False
YARN-3870,Sub-task,18,147,1,2,-1,True,False,False
YARN-3867,Sub-task,13,17,1,0,-1,True,False,False
YARN-3866,Sub-task,47,34,1,0,-1,True,False,False
YARN-3864,Sub-task,37,24,2,4,1,True,False,False
YARN-3863,Sub-task,50,32,2,4,1,True,False,True
YARN-3851,Sub-task,3,53,1,0,2,True,False,False
YARN-3822,Sub-task,1,14,2,1,1,False,True,False
YARN-3818,Sub-task,1,26,2,4,-1,True,False,False
YARN-3817,Sub-task,7,55,2,4,-1,True,False,False
YARN-3816,Sub-task,109,71,2,2,-1,True,False,False
YARN-3815,Sub-task,26,83,2,4,-1,True,False,False
YARN-3808,Improvement,0,68,1,2,0,True,True,False
YARN-3807,Improvement,0,102,1,2,0,True,True,False
YARN-3806,Improvement,11,131,1,2,0,True,True,False
YARN-3773,Sub-task,3,76,1,0,2,False,True,True
YARN-3772,New Feature,0,36,2,2,-1,True,False,False
YARN-3739,Sub-task,7,19,0,1,0,True,False,False
YARN-3736,Sub-task,20,27,0,1,-1,True,False,False
YARN-3719,New Feature,2,34,1,0,-1,False,True,True
YARN-3718,Sub-task,5,66,1,0,2,False,True,False
YARN-3692,Improvement,39,72,2,2,-1,True,False,False
YARN-3691,Bug,1,26,1,2,0,False,True,False
YARN-3684,Sub-task,7,45,2,4,0,True,True,False
YARN-3680,Improvement,0,140,1,2,0,True,True,False
YARN-3623,New Feature,35,43,2,3,1,True,False,False
YARN-3673,Sub-task,10,16,2,4,3,True,False,False
YARN-3672,Sub-task,7,21,2,4,3,True,False,False
YARN-3671,Sub-task,10,16,2,4,3,True,False,False
YARN-3666,Sub-task,16,43,2,4,3,True,False,False
YARN-3665,Sub-task,1,20,2,4,3,True,False,False
YARN-3664,Sub-task,12,21,2,3,3,True,False,False
YARN-3663,Sub-task,14,17,2,4,-1,True,False,True
YARN-3662,Sub-task,24,35,2,4,3,True,False,False
YARN-3661,Sub-task,25,23,2,3,3,True,False,False
YARN-3660,Sub-task,6,43,2,3,3,True,True,False
YARN-3659,Sub-task,8,19,2,1,3,True,False,False
YARN-3656,Sub-task,16,64,1,2,0,False,True,False
YARN-3637,Sub-task,16,93,2,2,2,True,False,False
YARN-3636,New Feature,11,142,2,3,-1,True,False,False
YARN-3632,Sub-task,16,30,1,2,0,True,False,False
YARN-3622,Sub-task,1,20,1,0,-1,True,False,False
YARN-3616,Sub-task,3,50,0,1,1,True,True,False
YARN-3611,Bug,16,119,1,0,2,True,True,False
YARN-3595,Sub-task,4,127,2,4,0,False,True,False
YARN-3588,Sub-task,4,39,2,4,1,True,False,False
YARN-3557,New Feature,18,50,1,0,-1,False,True,True
YARN-3542,Improvement,25,26,1,0,0,True,False,False
YARN-3534,Improvement,50,19,1,2,0,True,False,False
YARN-3510,Sub-task,14,42,1,2,0,True,False,False
YARN-3508,Bug,33,48,0,2,-1,True,True,False
YARN-3500,Improvement,6,45,1,3,0,False,True,False
YARN-3499,Improvement,1,38,1,3,0,False,True,False
YARN-3490,New Feature,0,72,1,0,-1,True,False,False
YARN-3488,Sub-task,12,85,2,4,-1,True,False,False
YARN-3482,Improvement,15,31,1,2,9,True,False,False
YARN-3481,Improvement,14,29,0,1,9,True,False,False
YARN-3474,New Feature,6,91,0,1,7,True,False,False
YARN-3448,Sub-task,28,156,2,3,-1,True,True,False
YARN-3445,Sub-task,26,37,0,1,-1,True,True,False
YARN-3443,Sub-task,21,252,1,0,0,True,True,False
YARN-3440,Bug,0,31,2,4,0,True,False,False
YARN-3418,Improvement,3,64,2,4,-1,True,False,False
YARN-3417,Bug,4,52,1,1,-1,True,True,False
YARN-3411,Sub-task,130,42,2,4,1,False,True,True
YARN-3402,Sub-task,2,36,2,3,6,True,True,False
YARN-3401,Sub-task,9,57,2,3,-1,True,False,False
YARN-3391,Sub-task,38,54,2,4,1,True,False,False
YARN-3378,New Feature,9,38,1,2,-1,True,False,False
YARN-3374,Sub-task,3,24,2,4,-1,True,False,False
YARN-3373,Sub-task,0,52,1,4,-1,True,True,False
YARN-3372,Sub-task,1,85,2,4,-1,True,False,False
YARN-3368,Improvement,33,35,1,0,-1,True,True,False
YARN-3366,Sub-task,31,30,1,0,-1,True,False,False
YARN-3365,Sub-task,16,38,1,0,2,True,False,False
YARN-3361,Sub-task,28,64,1,4,8,True,False,False
YARN-3354,Sub-task,6,58,0,1,8,True,False,False
YARN-3345,Sub-task,12,21,1,4,8,True,False,False
YARN-3332,Improvement,14,50,1,2,0,True,False,False
YARN-3319,Sub-task,19,75,1,2,0,True,False,False
YARN-3318,Sub-task,37,12,0,1,4,True,False,False
YARN-3317,Improvement,0,34,1,4,6,True,True,False
YARN-3307,New Feature,21,23,0,2,0,True,True,False
YARN-3306,Bug,10,77,1,2,0,True,True,False
YARN-3299,Task,1,45,2,4,-1,True,False,False
YARN-3250,Sub-task,28,26,2,4,-1,True,False,False
YARN-3245,Sub-task,1,41,1,1,-1,True,False,False
YARN-3212,Sub-task,37,49,0,1,-1,True,False,False
YARN-3242,Bug,19,117,2,3,-1,True,False,False
YARN-3235,Sub-task,2,5,0,4,0,True,False,False
YARN-3233,Sub-task,1,14,2,4,0,True,False,False
YARN-3228,Bug,1,42,0,2,0,True,False,False
YARN-3214,Sub-task,13,54,1,2,8,True,True,False
YARN-3208,Bug,1,15,2,3,-1,True,False,False
YARN-3194,Bug,26,108,0,1,7,True,False,False
YARN-3172,New Feature,9,38,2,3,2,True,False,False
YARN-3167,Sub-task,5,35,2,3,1,True,False,False
YARN-3166,Sub-task,20,72,2,4,6,True,False,False
YARN-3148,Improvement,11,43,2,3,-1,True,False,False
YARN-3139,Sub-task,35,24,2,4,-1,True,False,False
YARN-3135,Improvement,0,60,2,4,6,True,True,False
YARN-3127,Bug,26,34,0,1,1,True,False,False
YARN-3125,Sub-task,14,22,2,4,1,True,False,False
YARN-3119,Improvement,11,49,1,2,-1,True,True,False
YARN-3118,Sub-task,3,30,2,4,1,True,True,False
YARN-3115,Sub-task,7,38,2,1,1,True,False,False
YARN-3104,Bug,18,75,2,3,-1,True,False,False
YARN-3100,Improvement,38,57,2,4,-1,True,True,False
YARN-3098,Sub-task,16,38,0,2,0,True,False,False
YARN-3093,Sub-task,3,59,2,4,-1,True,False,False
YARN-3092,Sub-task,6,55,1,2,0,True,False,False
YARN-3091,Task,17,46,2,2,0,True,True,False
YARN-3076,Sub-task,10,7,0,4,8,True,False,False
YARN-3068,Bug,2,135,2,4,6,True,True,False
YARN-3054,Bug,7,59,1,2,0,True,False,False
YARN-3053,Sub-task,44,27,2,3,6,False,True,False
YARN-3052,Sub-task,1,32,2,3,6,True,False,False
YARN-3051,Sub-task,133,22,2,4,1,True,False,False
YARN-3050,Sub-task,3,16,2,4,1,True,False,False
YARN-3049,Sub-task,49,18,2,4,1,True,False,False
YARN-3048,Sub-task,3,28,2,4,1,True,False,False
